Airport Identifier,"Abbreviated
Airport Name",Latitude (DD),Longitude (DD),Manager's Name,"Airport 
E-mail Address",Airport Manager's Phone No.,Airport Manager's Address - Line 1,Address Line 2,City,,State,Zip,Type
BFW,Silver Bay,47.25,-91.42,James Larson,sbstreets@hotmail.com,218-226-4408,7 Davis Drive,,Silver Bay,,MN,55614,Paved
DVP,Slayton,43.99,-95.78,,,,,,,,MN,,Paved
SGS,South St. Paul,44.86,-93.03,Glenn Burke,glenn.burke@southstpaul.org,651-554-3350,1725 Henry Avenue,,South St. Paul,,MN,55075,Paved
D42,Springfield,44.23,-95.00,Malcolm Tilberg,manager@newulmtel.net,507-723-3500,2 E. Central Street,,Springfield,,MN,56087,Paved
STC,St. Cloud,45.55,-94.06,Bill Towle,william.towle@ci.stcloud.mn.us,320-255-7292,1550 45th Avenue SE.,Suite 1,St. Cloud,,MN,56304,Paved
JYG,St. James,43.99,-94.56,Joe McCabe,manager@stjames.govoffice.com,507-375-3241,124 Armstrong Boulevard S.,,St. James,,MN,56081,Paved
SAZ,Staples,46.38,-94.81,Nathan Mathews,nmathews@ci.staples.mn.us,218-894-2550,122 6th Street NE.,,Staples,,MN,56479,Paved
D41,Stephen,48.46,-96.86,Kirk Larson,larsonag@invisimax.com,218-478-2247,40214 380th Avenue NW.,,Stephen,,MN,56757,Paved
TKC,Tracy,44.25,-95.60,Homer G. Dobson,,507-629-3833,249 5th Street,,Tracy,,MN,56175,Paved
D00,Twin Valley,47.26,-96.40,Bruce Visser,babvisser@loretel.net,218-415-0191,P.O. Box 9,,Ada,,MN,56510,Paved
TWM,Two Harbors,47.05,-91.75,Richard B. Helegson,,218-834-2162,608 Airport Road,,Two Harbors,,MN,55616,Paved
ADC,Wadena,46.45,-95.21,Brad Swenson,,218-631-770,P.O. Box 30,,Wadena,,MN,56482,Paved
Y49,Walker,47.16,-94.65,Ken Bresley,,218-547-1616,6909 State Highway 371,,Walker,,MN,56484,Paved
D37,Warren,48.19,-96.72,Aaron Peterson,aaron@radiumairspray.com,218-201-0652,31454 Highway 1 NW.,,Warren,,MN,56762,Paved
RRT,Warroad,48.94,-95.35,Bruce Maclean,macthepilot@hotmail.com,218-386-1691,36955 County Road 13,,Warroad,,MN,56763,Paved
ACQ,Waseca,44.07,-93.55,Maynard Stensrud,msstensrud@hotmail.com,507-835-5920,508 S. State Street,,Waseca,,MN,56093,Paved
ETH,Wheaton,45.78,-96.54,Jamie Beyer,jbeyer@cityofwheaton.com,320-563-4110,104 9th Street N.,,Wheaton,,MN,56296,Paved
BDH,Willmar,45.12,-95.13,Megan Sauer,msauer@ci.willmar.mn.us,320-235-8311,333 6th Street SW.,,Willmar,,MN,56201,Paved
MWM,Windom,43.91,-95.11,Brian Underwood,horsepoor_ridefast@hotmail.com,507-830-0273,444 9th Street,Box 38,Windom,,MN,56101,Paved
ONA,Winona,44.08,-91.71,Keith Nelson,knelson@ci.winona.mn.us,507-457-8274,207 Lafayette Street,,Winona,,MN,55987,Paved
OTG,Worthington,43.66,-95.58,James Laffrenzen,jlaff@frontiernet.net,507-372-8650,P.O. Box 279,,Worthington,,MN,56187,Paved
